iter	RMSE
0	37.13835911
1	35.26635853
2	33.89792422
3	32.4377289
4	31.41906419
5	29.93691573
6	28.77170436
7	27.60138744
8	26.55679416
9	25.63023793
10	24.74859117
11	24.05755994
12	23.27387347
13	22.56637124
14	22.00140495
15	21.48455533
16	20.94737907
17	20.49157187
18	19.97737266
19	19.52845182
20	19.10538675
21	18.74011598
22	18.48913156
23	18.2148381
24	17.76553159
25	17.46541819
26	17.09514351
27	16.80612395
28	16.45229684
29	16.19257414
30	15.92337228
31	15.64069789
32	15.43570993
33	15.19762859
34	14.99543813
35	14.79539162
36	14.57997988
37	14.47758999
38	14.25522351
39	14.06037436
40	13.94003123
41	13.8093987
42	13.64616528
43	13.51866929
44	13.39433569
45	13.23325983
46	13.1015227
47	12.96858191
48	12.86945695
49	12.79856077
50	12.67915313
51	12.58009154
52	12.47941217
53	12.39947353
54	12.30079106
55	12.21103772
56	12.16356264
57	12.08971488
58	12.06537054
59	12.00362978
60	11.91821329
61	11.89017298
62	11.82657817
63	11.76304944
64	11.70572769
65	11.58583673
66	11.53077182
67	11.46197658
68	11.39637382
69	11.33797118
70	11.29574629
71	11.24214644
72	11.19265333
73	11.15390081
74	11.12832232
75	11.07729714
76	11.01817716
77	10.97084644
78	10.9427691
79	10.89406723
80	10.87239468
81	10.82282792
82	10.78503748
83	10.74697835
84	10.69372413
85	10.65529899
86	10.62450235
87	10.60746577
88	10.56726064
89	10.52700248
90	10.50210587
91	10.46538864
92	10.43325464
93	10.4072202
94	10.37480642
95	10.33525549
96	10.31602307
97	10.29692607
98	10.27763365
99	10.25260738
100	10.24064189
101	10.21600797
102	10.19407501
103	10.17321081
104	10.156397
105	10.13105107
106	10.11667768
107	10.09442459
108	10.0683624
109	10.05550161
110	10.04397733
111	10.02258963
112	10.00090464
113	9.991371781
114	9.982199822
115	9.960659375
116	9.937523888
117	9.922869433
118	9.88229772
119	9.874162679
120	9.861715109
121	9.856135264
122	9.834460778
123	9.820094515
124	9.804363306
125	9.779607303
126	9.71429334
127	9.708023076
128	9.702027119
129	9.689270886
130	9.673802167
131	9.658391555
132	9.649084977
133	9.635722547
134	9.629428677
135	9.619813071
136	9.601629685
137	9.568526853
138	9.561915045
139	9.549203645
140	9.542614106
141	9.497765472
142	9.493664156
143	9.485645656
144	9.481207428
145	9.471629108
